fold,n_p_train_slots,bin_means,grand_mean,rho_P
CCC_2014J,89,"{""EARLY"": 0.4108028375304856, ""LATE"": 0.8210045662100457, ""MIDDLE"": 0.5931311654276743}",0.4871139971381391,
EEE_2014B,45,"{""EARLY"": 0.38163169136083425, ""MIDDLE"": 0.6129950182063605}",0.4690356148358108,0.7006490497453708
EEE_2014J,89,"{""EARLY"": 0.4108028375304856, ""LATE"": 0.8210045662100457, ""MIDDLE"": 0.5931311654276743}",0.4871139971381391,0.4529108136578383
FFF_2014B,45,"{""EARLY"": 0.38163169136083425, ""MIDDLE"": 0.6129950182063605}",0.4690356148358108,0.35795504296706365
FFF_2014J,89,"{""EARLY"": 0.4108028375304856, ""LATE"": 0.8210045662100457, ""MIDDLE"": 0.5931311654276743}",0.4871139971381391,0.21786957734000087
