covariate,mean_t3,mean_t1,smd_t3_minus_t1,n_t3,n_t1,sample
log_clicks,5.635902799032029,5.99338766453993,-0.36771432926849,4410,7184,submission
n_opp,13.902721088435374,12.043569042316259,0.19460978748972715,4410,7184,submission
prior_missing,0.28775510204081634,0.344097995545657,-0.12071687631479956,4410,7184,submission
prior_score_filled,75.04839223177332,76.51188455008489,-0.07859042393305385,3141,4712,submission
log_clicks,5.6546430704664665,5.9630805692489774,-0.31547972757571907,3971,6470,low_score
n_opp,15.058171745152354,13.32967542503864,0.17232307041407524,3971,6470,low_score
prior_missing,0.2802820448249811,0.3166924265842349,-0.07929221000261633,3971,6470,low_score
prior_score_filled,74.91707487753673,76.2825152680389,-0.07346862808675819,2858,4421,low_score
